,"Aston Hill",,,,"Mold",,,,"Wrexham",,,,,,,,,
Date,"Nitrogen dioxide",Status,"Nitrogen oxides as nitrogen dioxide",Status,"Nitrogen dioxide",Status,"Nitrogen oxides as nitrogen dioxide",Status,"Nitrogen dioxide",Status,"Nitrogen oxides as nitrogen dioxide",Status,"Sulphur dioxide",Status,"Carbon monoxide",Status,"PM10 particulate matter (Hourly measured)",Status
2002-04-15,No data,,No data,,No data,,No data,,24,V ugm-3,40,V ugm-3,2,V ugm-3,0.53,V mgm-3,No data
2002-04-16,No data,,No data,,No data,,No data,,38,V ugm-3,71,V ugm-3,5,V ugm-3,0.79,V mgm-3,No data
2002-04-17,No data,,No data,,No data,,No data,,31,V ugm-3,62,V ugm-3,4,V ugm-3,0.8,V mgm-3,No data
2002-04-18,No data,,No data,,No data,,No data,,8,V ugm-3,12,V ugm-3,0,V ugm-3,0.3,V mgm-3,No data
2002-04-19,No data,,No data,,No data,,No data,,33,V ugm-3,60,V ugm-3,3,V ugm-3,0.62,V mgm-3,No data
2002-04-20,No data,,No data,,No data,,No data,,25,V ugm-3,48,V ugm-3,2,V ugm-3,0.62,V mgm-3,No data
2002-04-21,No data,,No data,,No data,,No data,,11,V ugm-3,19,V ugm-3,4,V ugm-3,0.38,V mgm-3,No data
2002-04-22,No data,,No data,,No data,,No data,,9,V ugm-3,15,V ugm-3,1,V ugm-3,0.32,V mgm-3,No data
2002-04-23,No data,,No data,,No data,,No data,,13,V ugm-3,24,V ugm-3,3,V ugm-3,0.39,V mgm-3,No data
2002-04-24,No data,,No data,,No data,,No data,,21,V ugm-3,46,V ugm-3,3,V ugm-3,0.42,V mgm-3,No data
2002-04-25,No data,,No data,,No data,,No data,,11,V ugm-3,19,V ugm-3,1,V ugm-3,0.25,V mgm-3,No data
2002-04-26,No data,,No data,,No data,,No data,,9,V ugm-3,15,V ugm-3,2,V ugm-3,0.32,V mgm-3,No data
2002-04-27,No data,,No data,,No data,,No data,,7,V ugm-3,12,V ugm-3,1,V ugm-3,0.28,V mgm-3,No data
2002-04-28,No data,,No data,,No data,,No data,,4,V ugm-3,4,V ugm-3,0,V ugm-3,0.22,V mgm-3,No data
2002-04-29,No data,,No data,,No data,,No data,,6,V ugm-3,8,V ugm-3,3,V ugm-3,0.24,V mgm-3,No data
2002-04-30,No data,,No data,,No data,,No data,,11,V ugm-3,19,V ugm-3,2,V ugm-3,0.36,V mgm-3,No data
2002-05-01,No data,,No data,,No data,,No data,,5,V ugm-3,8,V ugm-3,2,V ugm-3,0.24,V mgm-3,No data
2002-05-02,No data,,No data,,No data,,No data,,13,V ugm-3,20,V ugm-3,2,V ugm-3,0.35,V mgm-3,No data
2002-05-03,No data,,No data,,No data,,No data,,21,V ugm-3,34,V ugm-3,5,V ugm-3,0.47,V mgm-3,No data
2002-05-04,No data,,No data,,No data,,No data,,26,V ugm-3,46,V ugm-3,9,V ugm-3,0.53,V mgm-3,No data
2002-05-05,No data,,No data,,No data,,No data,,18,V ugm-3,26,V ugm-3,4,V ugm-3,0.48,V mgm-3,No data
2002-05-06,No data,,No data,,No data,,No data,,27,V ugm-3,46,V ugm-3,6,V ugm-3,0.67,V mgm-3,No data
2002-05-07,No data,,No data,,No data,,No data,,49,V ugm-3,104,V ugm-3,10,V ugm-3,0.99,V mgm-3,No data
2002-05-08,No data,,No data,,No data,,No data,,44,V ugm-3,81,V ugm-3,8,V ugm-3,0.82,V mgm-3,No data
2002-05-09,No data,,No data,,No data,,No data,,48,V ugm-3,71,V ugm-3,17,V ugm-3,0.68,V mgm-3,No data
2002-05-10,No data,,No data,,No data,,No data,,16,V ugm-3,22,V ugm-3,3,V ugm-3,0.39,V mgm-3,No data
2002-05-11,No data,,No data,,No data,,No data,,10,V ugm-3,14,V ugm-3,2,V ugm-3,0.26,V mgm-3,No data
2002-05-12,No data,,No data,,No data,,No data,,15,V ugm-3,26,V ugm-3,4,V ugm-3,0.42,V mgm-3,No data
2002-05-13,No data,,No data,,No data,,No data,,22,V ugm-3,44,V ugm-3,4,V ugm-3,0.62,V mgm-3,No data
