,"Barnstaple A39",,,,"Bath 6",,,,,,,,"Bath Roadside",,,,,,"Bournemouth",,,,,,,,"BRIDGWATER 3",,,,"BRISTOL 26",,,,"Bristol Centre",,,,,,,,,,"Bristol Old Market",,,,,,"Bristol St Paul's",,,,,,,,,,,,"Charlton Mackrell",,,,"Exeter Roadside",,,,,,,,"Gloucester 4",,,,,,"Goonhilly Downs",,"Honiton",,,,"Plymouth Centre",,,,,,,,,,,,"Saltash Callington Road",,,,"Saltash Roadside",,,,"Somerton",,,,"SWINDON 2",,,,"Yarner Wood",,,
Date,"PM10 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"Sulphur dioxide",Status,"Black smoke",Status,"Black smoke",Status,"Black Carbon (880nm)",Status,"Nitrogen dioxide",Status,"Nitrogen oxides as nitrogen dioxide",Status,"Carbon monoxide",Status,"Nitrogen dioxide",Status,"Nitrogen oxides as nitrogen dioxide",Status,"Sulphur dioxide",Status,"Carbon monoxide",Status,"Sulphur dioxide",Status,"Black smoke",Status,"Sulphur dioxide",Status,"Black smoke",Status,"Nitrogen dioxide",Status,"Nitrogen oxides as nitrogen dioxide",Status,"Sulphur dioxide",Status,"Carbon monoxide",Status,"PM10 particulate matter (Hourly measured)",Status,"Nitrogen dioxide",Status,"Nitrogen oxides as nitrogen dioxide",Status,"Carbon monoxide",Status,"Nitrogen dioxide",Status,"Nitrogen oxides as nitrogen dioxide",Status,"Sulphur dioxide",Status,"Carbon monoxide",Status,"PM10 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"Nitrogen dioxide",Status,"Nitrogen oxides as nitrogen dioxide",Status,"Nitrogen dioxide",Status,"Nitrogen oxides as nitrogen dioxide",Status,"Sulphur dioxide",Status,"Carbon monoxide",Status,"Sulphur dioxide",Status,"Black smoke",Status,"Black smoke",Status,"Black Carbon (880nm)",Status,"Nitrogen dioxide",Status,"Nitrogen oxides as nitrogen dioxide",Status,"Nitrogen dioxide",Status,"Nitrogen oxides as nitrogen dioxide",Status,"Sulphur dioxide",Status,"Carbon monoxide",Status,"PM10 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM10 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM10 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"Nitrogen dioxide",Status,"Nitrogen oxides as nitrogen dioxide",Status,"Sulphur dioxide",Status,"Black smoke",Status,"Nitrogen dioxide",Status,"Nitrogen oxides as nitrogen dioxide",Status
2001-01-11,No data,,No data,,No data,,No data,,No data,,No data,,No data,V ugm-3,No data,V ugm-3,0.84,V mgm-3,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,18,V ugm-3,32,V ugm-3,4,V ugm-3,0.31,V mgm-3,23,V ugm-3 (INDIC.GRAV),46,V ugm-3,141,V ugm-3,0.89,V mgm-3,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,45,V ugm-3,152,V ugm-3,6,V ugm-3,1.6,V mgm-3,No data,,No data,,No data,,No data,,No data,,No data,,30,V ugm-3,33,V ugm-3,6,V ugm-3,0.42,V mgm-3,13,V ugm-3 (INDIC.GRAV),No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data
2001-01-12,No data,,No data,,No data,,No data,,No data,,No data,,No data,V ugm-3,No data,V ugm-3,1.2,V mgm-3,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,28,V ugm-3,46,V ugm-3,7,V ugm-3,0.65,V mgm-3,23,V ugm-3 (INDIC.GRAV),55,V ugm-3,223,V ugm-3,1.2,V mgm-3,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,60,V ugm-3,202,V ugm-3,7,V ugm-3,1.9,V mgm-3,No data,,No data,,No data,,No data,,No data,,No data,,32,V ugm-3,34,V ugm-3,4,V ugm-3,0.37,V mgm-3,13,V ugm-3 (INDIC.GRAV),No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data
2001-01-13,No data,,No data,,No data,,No data,,No data,,No data,,No data,V ugm-3,No data,V ugm-3,1.4,V mgm-3,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,38,V ugm-3,75,V ugm-3,5,V ugm-3,0.75,V mgm-3,26,V ugm-3 (INDIC.GRAV),59,V ugm-3,293,V ugm-3,1.7,V mgm-3,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,58,V ugm-3,218,V ugm-3,8,V ugm-3,2,V mgm-3,No data,,No data,,No data,,No data,,No data,,No data,,38,V ugm-3,42,V ugm-3,5,V ugm-3,0.46,V mgm-3,18,V ugm-3 (INDIC.GRAV),No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data
2001-01-14,No data,,No data,,No data,,No data,,No data,,No data,,No data,V ugm-3,No data,V ugm-3,1,V mgm-3,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,33,V ugm-3,57,V ugm-3,4,V ugm-3,0.63,V mgm-3,19,V ugm-3 (INDIC.GRAV),51,V ugm-3,195,V ugm-3,1.3,V mgm-3,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,48,V ugm-3,134,V ugm-3,6,V ugm-3,1.4,V mgm-3,No data,,No data,,No data,,No data,,No data,,No data,,28,V ugm-3,29,V ugm-3,4,V ugm-3,0.38,V mgm-3,13,V ugm-3 (INDIC.GRAV),No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data
2001-01-15,No data,,No data,,No data,,No data,,No data,,No data,,No data,V ugm-3,No data,V ugm-3,1.4,V mgm-3,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,34,V ugm-3,93,V ugm-3,10,V ugm-3,0.74,V mgm-3,70,V ugm-3 (INDIC.GRAV),55,V ugm-3,298,V ugm-3,1.6,V mgm-3,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,57,V ugm-3,233,V ugm-3,8,V ugm-3,2.1,V mgm-3,No data,,No data,,No data,,No data,,No data,,No data,,40,V ugm-3,49,V ugm-3,5,V ugm-3,0.5,V mgm-3,27,V ugm-3 (INDIC.GRAV),No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data
2001-01-16,No data,,No data,,No data,,No data,,No data,,No data,,No data,V ugm-3,No data,V ugm-3,1.7,V mgm-3,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,52,V ugm-3,154,V ugm-3,12,V ugm-3,1,V mgm-3,54,V ugm-3 (INDIC.GRAV),No data,V ugm-3,No data,V ugm-3,2,V mgm-3,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,52,V ugm-3,250,V ugm-3,8,V ugm-3,2.4,V mgm-3,No data,,No data,,No data,,No data,,No data,,No data,,56,V ugm-3,97,V ugm-3,6,V ugm-3,0.69,V mgm-3,44,V ugm-3 (INDIC.GRAV),No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data
2001-01-17,No data,,No data,,No data,,No data,,No data,,No data,,No data,V ugm-3,No data,V ugm-3,2.3,V mgm-3,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,57,V ugm-3,229,V ugm-3,16,V ugm-3,1.2,V mgm-3,66,V ugm-3 (INDIC.GRAV),No data,V ugm-3,No data,V ugm-3,2.5,V mgm-3,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,72,V ugm-3,261,V ugm-3,8,V ugm-3,2.1,V mgm-3,No data,,No data,,No data,,No data,,No data,,No data,,66,V ugm-3,127,V ugm-3,6,V ugm-3,0.92,V mgm-3,50,V ugm-3 (INDIC.GRAV),No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data
2001-01-18,No data,,No data,,No data,,No data,,No data,,No data,,No data,V ugm-3,No data,V ugm-3,2.3,V mgm-3,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,62,V ugm-3,276,V ugm-3,22,V ugm-3,1.6,V mgm-3,72,V ugm-3 (INDIC.GRAV),72,V ugm-3,484,V ugm-3,2,V mgm-3,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,80,V ugm-3,302,V ugm-3,11,V ugm-3,2.3,V mgm-3,No data,,No data,,No data,,No data,,No data,,No data,,71,V ugm-3,120,V ugm-3,5,V ugm-3,1,V mgm-3,No data,V ugm-3 (INDIC.GRAV),No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data
2001-01-19,No data,,No data,,No data,,No data,,No data,,No data,,No data,V ugm-3,No data,V ugm-3,2.2,V mgm-3,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,73,V ugm-3,384,V ugm-3,33,V ugm-3,1.9,V mgm-3,76,V ugm-3 (INDIC.GRAV),74,V ugm-3,495,V ugm-3,2.1,V mgm-3,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,79,V ugm-3,332,V ugm-3,13,V ugm-3,2.5,V mgm-3,No data,,No data,,No data,,No data,,No data,,No data,,79,V ugm-3,267,V ugm-3,12,V ugm-3,1.9,V mgm-3,59,V ugm-3 (INDIC.GRAV),No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data
2001-01-20,No data,,No data,,No data,,No data,,No data,,No data,,No data,V ugm-3,No data,V ugm-3,2.4,V mgm-3,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,76,V ugm-3,486,V ugm-3,33,V ugm-3,2.4,V mgm-3,82,V ugm-3 (INDIC.GRAV),78,V ugm-3,506,V ugm-3,2.1,V mgm-3,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,57,V ugm-3,171,V ugm-3,9,V ugm-3,1.2,V mgm-3,No data,,No data,,No data,,No data,,No data,,No data,,54,V ugm-3,163,V ugm-3,9,V ugm-3,1.4,V mgm-3,38,V ugm-3 (INDIC.GRAV),No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data
2001-01-21,No data,,No data,,No data,,No data,,No data,,No data,,No data,V ugm-3,No data,V ugm-3,1.6,V mgm-3,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,44,V ugm-3,144,V ugm-3,12,V ugm-3,1.3,V mgm-3,28,V ugm-3 (INDIC.GRAV),35,V ugm-3,204,V ugm-3,1.4,V mgm-3,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,37,V ugm-3,160,V ugm-3,4,V ugm-3,1.7,V mgm-3,No data,,No data,,No data,,No data,,No data,,No data,,41,V ugm-3,47,V ugm-3,3,V ugm-3,0.53,V mgm-3,14,V ugm-3 (INDIC.GRAV),No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data
2001-01-22,No data,,No data,,No data,,No data,,No data,,No data,,No data,V ugm-3,No data,V ugm-3,1.9,V mgm-3,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,45,V ugm-3,85,V ugm-3,5,V ugm-3,0.78,V mgm-3,No data,V ugm-3 (INDIC.GRAV),No data,V ugm-3,No data,V ugm-3,No data,V mgm-3,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,36,V ugm-3,60,V ugm-3,1,V ugm-3,0.83,V mgm-3,No data,,No data,,No data,,No data,,No data,,No data,,26,V ugm-3,29,V ugm-3,4,V ugm-3,0.34,V mgm-3,21,V ugm-3 (INDIC.GRAV),No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data
2001-01-23,No data,,No data,,No data,,No data,,No data,,No data,,No data,V ugm-3,No data,V ugm-3,1.5,V mgm-3,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,24,V ugm-3,46,V ugm-3,3,V ugm-3,0.59,V mgm-3,No data,V ugm-3 (INDIC.GRAV),No data,V ugm-3,No data,V ugm-3,No data,V mgm-3,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,34,V ugm-3,45,V ugm-3,0,V ugm-3,0.73,V mgm-3,No data,,No data,,No data,,No data,,No data,,No data,,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,No data,V mgm-3,No data,V ugm-3 (INDIC.GRAV),No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data
2001-01-24,No data,,No data,,No data,,No data,,No data,,No data,,No data,V ugm-3,No data,V ugm-3,1.8,V mgm-3,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,24,V ugm-3,38,V ugm-3,5,V ugm-3,0.55,V mgm-3,15,V ugm-3 (INDIC.GRAV),42,V ugm-3,102,V ugm-3,0.59,V mgm-3,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,No data,V mgm-3,No data,,No data,,No data,,No data,,No data,,No data,,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,No data,V mgm-3,No data,V ugm-3 (INDIC.GRAV),No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data
2001-01-25,No data,,No data,,No data,,No data,,No data,,No data,,No data,V ugm-3,No data,V ugm-3,2,V mgm-3,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,31,V ugm-3,49,V ugm-3,3,V ugm-3,0.61,V mgm-3,11,V ugm-3 (INDIC.GRAV),51,V ugm-3,134,V ugm-3,0.85,V mgm-3,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,No data,V mgm-3,No data,,No data,,No data,,No data,,No data,,No data,,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,No data,V mgm-3,No data,V ugm-3 (INDIC.GRAV),No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data
