,"ACKWORTH 1",,,,"BARNSLEY 12",,,,"Barnsley 12",,"BARNSLEY 12",,,,"BARNSLEY 13",,,,"BARNSLEY 8",,,,"Barnsley Gawber",,,,,,,,"Bradford 6",,,,,,,,"Bradford Centre",,,,,,,,,,,,"BRAMPTON 1",,,,"CASTLEFORD 11",,,,"CUDWORTH 2",,,,"DEWSBURY 12",,,,"DINNINGTON 4",,,,"ELLAND 2",,,,"FEATHERSTONE 1",,,,"GOLDTHORPE 1",,,,"GRIMETHORPE 2",,,
Date,"Sulphur dioxide",Status,"Black smoke",Status,"Sulphur dioxide",Status,"Black smoke",Status,"Sulphur dioxide",Status,"Sulphur dioxide",Status,"Black smoke",Status,"Sulphur dioxide",Status,"Black smoke",Status,"Sulphur dioxide",Status,"Black smoke",Status,"Nitrogen dioxide",Status,"Nitrogen oxides as nitrogen dioxide",Status,"Sulphur dioxide",Status,"Carbon monoxide",Status,"Sulphur dioxide",Status,"Black smoke",Status,"Black smoke",Status,"Black Carbon (880nm)",Status,"Nitrogen dioxide",Status,"Nitrogen oxides as nitrogen dioxide",Status,"Sulphur dioxide",Status,"Carbon monoxide",Status,"PM10 particulate matter (Hourly measured)",Status,"Black smoke",Status,"Sulphur dioxide",Status,"Black smoke",Status,"Sulphur dioxide",Status,"Black smoke",Status,"Sulphur dioxide",Status,"Black smoke",Status,"Sulphur dioxide",Status,"Black smoke",Status,"Sulphur dioxide",Status,"Black smoke",Status,"Sulphur dioxide",Status,"Black smoke",Status,"Sulphur dioxide",Status,"Black smoke",Status,"Sulphur dioxide",Status,"Black smoke",Status,"Sulphur dioxide",Status,"Black smoke",Status
2001-01-11,No data,,No data,,No data,,8,V ugm-3,No data,,No data,,No data,,No data,,No data,,26,V ugm-3,40,V ugm-3,20,V ugm-3,No data,,No data,,No data,,No data,,No data,,47,V ugm-3,95,V ugm-3,7,V ugm-3,0.31,V mgm-3,21,V ugm-3 (INDIC.GRAV),No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data
2001-01-12,No data,,No data,,No data,,14,V ugm-3,No data,,No data,,No data,,No data,,No data,,41,V ugm-3,53,V ugm-3,14,V ugm-3,No data,,No data,,No data,,No data,,No data,,58,V ugm-3,97,V ugm-3,9,V ugm-3,0.36,V mgm-3,28,V ugm-3 (INDIC.GRAV),No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data
2001-01-13,No data,,No data,,No data,,46,V ugm-3,No data,,No data,,No data,,No data,,No data,,52,V ugm-3,149,V ugm-3,40,V ugm-3,No data,,No data,,No data,,No data,,No data,,83,V ugm-3,261,V ugm-3,13,V ugm-3,0.72,V mgm-3,41,V ugm-3 (INDIC.GRAV),No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data
2001-01-14,No data,,No data,,No data,,26,V ugm-3,No data,,No data,,No data,,No data,,No data,,35,V ugm-3,55,V ugm-3,19,V ugm-3,No data,,No data,,No data,,No data,,No data,,68,V ugm-3,144,V ugm-3,14,V ugm-3,0.48,V mgm-3,28,V ugm-3 (INDIC.GRAV),No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data
2001-01-15,No data,,No data,,No data,,30,V ugm-3,No data,,No data,,No data,,No data,,No data,,28,V ugm-3,43,V ugm-3,25,V ugm-3,No data,,No data,,No data,,No data,,No data,,59,V ugm-3,123,V ugm-3,25,V ugm-3,0.37,V mgm-3,36,V ugm-3 (INDIC.GRAV),No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data
2001-01-16,No data,,No data,,No data,,73,V ugm-3,No data,,No data,,No data,,No data,,No data,,44,V ugm-3,203,V ugm-3,53,V ugm-3,No data,,No data,,No data,,No data,,No data,,81,V ugm-3,235,V ugm-3,26,V ugm-3,0.57,V mgm-3,55,V ugm-3 (INDIC.GRAV),No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data
2001-01-17,No data,,No data,,No data,,80,V ugm-3,No data,,No data,,No data,,No data,,No data,,60,V ugm-3,351,V ugm-3,50,V ugm-3,No data,,No data,,No data,,No data,,No data,,122,V ugm-3,605,V ugm-3,21,V ugm-3,1.6,V mgm-3,80,V ugm-3 (INDIC.GRAV),No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data
2001-01-18,No data,,No data,,No data,,30,V ugm-3,No data,,No data,,No data,,No data,,No data,,52,V ugm-3,147,V ugm-3,27,V ugm-3,No data,,No data,,No data,,No data,,No data,,104,V ugm-3,488,V ugm-3,12,V ugm-3,1.4,V mgm-3,70,V ugm-3 (INDIC.GRAV),No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data
2001-01-19,No data,,No data,,No data,,17,V ugm-3,No data,,No data,,No data,,No data,,No data,,34,V ugm-3,74,V ugm-3,12,V ugm-3,No data,,No data,,No data,,No data,,No data,,75,V ugm-3,265,V ugm-3,9,V ugm-3,0.8,V mgm-3,43,V ugm-3 (INDIC.GRAV),No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data
2001-01-20,No data,,No data,,No data,,36,V ugm-3,No data,,No data,,No data,,No data,,No data,,27,V ugm-3,85,V ugm-3,21,V ugm-3,No data,,No data,,No data,,No data,,No data,,54,V ugm-3,144,V ugm-3,7,V ugm-3,0.55,V mgm-3,24,V ugm-3 (INDIC.GRAV),No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data
2001-01-21,No data,,No data,,No data,,31,V ugm-3,No data,,No data,,No data,,No data,,No data,,39,V ugm-3,67,V ugm-3,35,V ugm-3,No data,,No data,,No data,,No data,,No data,,44,V ugm-3,66,V ugm-3,6,V ugm-3,0.28,V mgm-3,22,V ugm-3 (INDIC.GRAV),No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data
2001-01-22,No data,,No data,,No data,,28,V ugm-3,No data,,No data,,No data,,No data,,No data,,42,V ugm-3,71,V ugm-3,17,V ugm-3,No data,,No data,,No data,,No data,,No data,,42,V ugm-3,98,V ugm-3,12,V ugm-3,0.37,V mgm-3,19,V ugm-3 (INDIC.GRAV),No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data
2001-01-23,No data,,No data,,No data,,26,V ugm-3,No data,,No data,,No data,,No data,,No data,,34,V ugm-3,51,V ugm-3,11,V ugm-3,No data,,No data,,No data,,No data,,No data,,47,V ugm-3,82,V ugm-3,8,V ugm-3,0.28,V mgm-3,21,V ugm-3 (INDIC.GRAV),No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data
2001-01-24,No data,,No data,,No data,,14,V ugm-3,No data,,No data,,No data,,No data,,No data,,32,V ugm-3,46,V ugm-3,10,V ugm-3,No data,,No data,,No data,,No data,,No data,,38,V ugm-3,67,V ugm-3,9,V ugm-3,0.22,V mgm-3,28,V ugm-3 (INDIC.GRAV),No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data
2001-01-25,No data,,No data,,No data,,16,V ugm-3,No data,,No data,,No data,,No data,,No data,,25,V ugm-3,35,V ugm-3,16,V ugm-3,No data,,No data,,No data,,No data,,No data,,39,V ugm-3,57,V ugm-3,8,V ugm-3,0.19,V mgm-3,16,V ugm-3 (INDIC.GRAV),No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data
2001-01-26,No data,,No data,,No data,,14,V ugm-3,No data,,No data,,No data,,No data,,No data,,34,V ugm-3,54,V ugm-3,10,V ugm-3,No data,,No data,,No data,,No data,,No data,,53,V ugm-3,119,V ugm-3,14,V ugm-3,No data,V mgm-3,23,V ugm-3 (INDIC.GRAV),No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data
2001-01-27,No data,,No data,,No data,,7,V ugm-3,No data,,No data,,No data,,No data,,No data,,24,V ugm-3,34,V ugm-3,3,V ugm-3,No data,,No data,,No data,,No data,,No data,,43,V ugm-3,85,V ugm-3,8,V ugm-3,No data,V mgm-3,22,V ugm-3 (INDIC.GRAV),No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data
2001-01-28,No data,,No data,,No data,,6,V ugm-3,No data,,No data,,No data,,No data,,No data,,36,V ugm-3,50,V ugm-3,10,V ugm-3,No data,,No data,,No data,,No data,,No data,,47,V ugm-3,106,V ugm-3,9,V ugm-3,No data,V mgm-3,22,V ugm-3 (INDIC.GRAV),No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data
2001-01-29,No data,,No data,,No data,,11,V ugm-3,No data,,No data,,No data,,No data,,No data,,39,V ugm-3,65,V ugm-3,9,V ugm-3,No data,,No data,,No data,,No data,,No data,,72,V ugm-3,221,V ugm-3,12,V ugm-3,No data,V mgm-3,29,V ugm-3 (INDIC.GRAV),No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data
2001-01-30,No data,,No data,,No data,,52,V ugm-3,No data,,No data,,No data,,No data,,No data,,72,V ugm-3,137,V ugm-3,17,V ugm-3,No data,,No data,,No data,,No data,,No data,,69,V ugm-3,202,V ugm-3,16,V ugm-3,No data,V mgm-3,42,V ugm-3 (INDIC.GRAV),No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data
2001-01-31,No data,,No data,,No data,,32,V ugm-3,No data,,No data,,No data,,No data,,No data,,71,V ugm-3,158,V ugm-3,22,V ugm-3,No data,,No data,,No data,,No data,,No data,,66,V ugm-3,240,V ugm-3,21,V ugm-3,No data,V mgm-3,36,V ugm-3 (INDIC.GRAV),No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data
2001-02-01,No data,,No data,,No data,,60,V ugm-3,No data,,No data,,No data,,No data,,No data,,56,V ugm-3,137,V ugm-3,26,V ugm-3,No data,,No data,,No data,,No data,,No data,,65,V ugm-3,241,V ugm-3,12,V ugm-3,1.2,V mgm-3,39,V ugm-3 (INDIC.GRAV),No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data
